	mass A												
t	x	y	r	vx	vy	v	ax	ay	a	θ	ω	α	
0.000	4.818E-3	-1.606E-3	5.078E-3			0.0				-0.322		
0.033	1.606E-3	9.636E-3	9.768E-3	0.000	0.385	0.385				1.406	25.43	
0.067	4.818E-3	2.409E-2	2.457E-2	0.120	0.771	0.780	3.510	11.56	12.08	1.373	0.128	-440.8
0.100	9.636E-3	6.103E-2	6.178E-2	0.217	1.229	1.248	2.271	7.640	7.970	1.414	0.263	-3.910
0.133	1.927E-2	0.106	0.108	0.289	1.277	1.309	5.368	0.619	5.404	1.391	-0.580	-31.99
0.167	2.891E-2	0.146	0.149	0.530	1.229	1.338	6.194	-1.858	6.467	1.376	-1.544	-18.77
0.200	5.460E-2	0.188	0.196	0.771	1.180	1.410	5.781	-1.858	6.073	1.288	-2.216	-9.195
0.233	8.030E-2	0.225	0.239	0.867	1.084	1.388	4.130	-4.336	5.988	1.228	-1.876	1.855
0.267	0.112	0.260	0.283	1.060	0.915	1.400	3.304	-4.955	5.956	1.163	-2.143	-1.022
0.300	0.151	0.286	0.323	1.108	0.723	1.323	3.717	-4.955	6.194	1.085	-2.034	-1.283
0.333	0.186	0.308	0.360	1.253	0.602	1.390	4.955	-4.336	6.585	1.027	-2.065	-3.295
0.367	0.234	0.326	0.402	1.494	0.434	1.555	3.717	-4.542	5.869	0.947	-2.394	-2.037
0.400	0.286	0.337	0.442	1.494	0.289	1.521	-1.239	-5.368	5.509	0.868	-2.180	5.544
0.433	0.334	0.345	0.480	1.397	9.636E-2	1.400	-4.542	-3.717	5.869	0.802	-1.967	9.763
0.467	0.379	0.344	0.512	1.204	0.000	1.204	-8.672	-2.478	9.019	0.737	-1.608	13.04
0.500	0.414	0.345	0.539	0.819	-2.409E-2	0.819	-17.34	0.206	17.35	0.695	-1.029	23.59
0.533	0.434	0.342	0.552	0.007	-2.409E-2	7.618E-2	-20.03	-0.206	20.03	0.668	-0.119	24.04
0.567	0.419	0.344	0.542	-0.602	0.000	0.602	-18.79	-0.413	18.79	0.687	0.716	23.71
0.600	0.393	0.342	0.521	-1.108	-7.227E-2	1.110	-10.74	-0.619	10.75	0.716	1.339	17.11
0.633	0.345	0.339	0.484	-1.397	-4.818E-2	1.398	-4.955	-2.891	5.737	0.776	1.950	9.552
0.667	0.300	0.339	0.453	-1.373	-0.217	1.390	-0.619	-4.749	4.789	0.846	1.965	4.448
0.700	0.254	0.324	0.412	-1.445	-0.434	1.509	0.000	-6.607	6.607	0.907	2.148	2.137
0.733	0.204	0.310	0.371	-1.397	-0.602	1.521	1.652	-7.227	7.413	0.989	2.243	0.823
0.767	0.161	0.284	0.326	-1.301	-0.939	1.605	2.891	-8.053	8.556	1.057	2.090	-5.111E-2
0.800	0.117	0.247	0.274	-1.229	-1.156	1.687	3.923	-7.020	8.042	1.128	2.269	-0.169
0.833	7.869E-2	0.207	0.222	-1.036	-1.373	1.720	7.640	-5.988	9.707	1.208	2.141	-18.74
0.867	4.818E-2	0.156	0.163	-0.723	-1.590	1.746	9.085	-4.955	10.35	1.271	1.051	-67.75
0.900	3.051E-2	0.101	0.106	-0.410	-1.686	1.735	7.640	3.304	8.323	1.278	-2.232	-227.8
0.933	2.088E-2	4.336E-2	4.812E-2	-0.217	-1.421	1.438	4.749	13.42	14.24	1.122	-13.46	-282.5
0.967	1.606E-2	6.424E-3	1.730E-2	-9.636E-2	-0.747	0.753	3.717	22.09	22.40	0.381	-23.10	268.7
1.000	1.445E-2	-6.424E-3	1.582E-2	2.409E-2	0.0	17.76	5.386E-2	3.097	17.76	18.03	-0.418	1.783	509.7
1.033	1.767E-2	9.636E-3	2.012E-2	0.120	0.506	0.520	2.271	13.83	14.02	0.499	19.50	209.6
1.067	2.248E-2	2.730E-2	3.537E-2	0.169	0.867	0.883	2.684	12.39	12.68	0.882	9.998	-230.3
1.100	2.891E-2	6.745E-2	7.338E-2	0.289	1.397	1.427	4.130	6.607	7.792	1.166	5.328	-132.7
1.133	4.175E-2	0.120	0.127	0.458	1.349	1.425	3.510	-3.304	4.820	1.237	0.658	-90.71
1.167	5.942E-2	0.157	0.168	0.530	1.084	1.207	4.542	-3.510	5.741	1.210	-0.702	-30.76
1.200	7.708E-2	0.193	0.208	0.723	1.132	1.343	5.781	-0.206	5.785	1.190	-1.078	-11.24
1.233	0.108	0.233	0.257	0.964	1.108	1.468	5.368	-4.130	6.773	1.138	-1.604	-12.03
1.267	0.141	0.267	0.302	1.060	0.843	1.354	1.652	-6.401	6.610	1.083	-1.796	-0.958
1.300	0.178	0.289	0.340	1.084	0.650	1.264	3.923	-4.749	6.160	1.018	-1.739	-3.695
1.333	0.214	0.310	0.376	1.277	0.554	1.392	4.749	-3.923	6.160	0.967	-1.904	-4.167
1.367	0.263	0.326	0.419	1.469	0.385	1.519	2.684	-4.542	5.276	0.891	-2.172	-1.439
1.400	0.312	0.336	0.458	1.421	0.241	1.442	-1.445	-4.130	4.375	0.823	-1.932	6.155
1.433	0.358	0.342	0.495	1.373	0.120	1.378	-3.923	-3.923	5.548	0.762	-1.749	6.831
1.467	0.403	0.344	0.530	1.180	-2.409E-2	1.181	-10.94	-3.510	11.49	0.706	-1.506	12.60
1.500	0.437	0.340	0.554	0.650	-0.120	0.661	-21.68	-0.619	21.69	0.662	-0.920	25.79
1.533	0.446	0.336	0.559	-0.265	-7.227E-2	0.275	-21.68	1.445	21.73	0.645	0.197	27.54
1.567	0.419	0.336	0.537	-0.891	0.000	0.891	-14.66	0.826	14.68	0.675	1.046	20.79
1.600	0.387	0.336	0.512	-1.156	-2.409E-2	1.157	-7.020	-1.032	7.096	0.714	1.475	12.94
1.633	0.342	0.334	0.478	-1.397	-7.227E-2	1.399	-3.304	-3.097	4.528	0.774	1.951	7.250
1.667	0.294	0.331	0.443	-1.373	-0.217	1.390	0.206	-5.162	5.166	0.844	1.986	1.775
1.700	0.251	0.320	0.406	-1.349	-0.434	1.417	0.413	-6.194	6.208	0.906	1.983	2.068
1.733	0.204	0.302	0.364	-1.373	-0.626	1.509	0.206	-7.020	7.023	0.977	2.176	3.897
1.767	0.159	0.278	0.320	-1.325	-0.891	1.597	3.923	-8.053	8.957	1.051	2.238	-5.823
1.800	0.116	0.242	0.269	-1.132	-1.180	1.636	5.162	-8.878	10.27	1.126	1.840	-10.85
