t	θ	ω	α	
0.000	-0.322	0.0	0.0
0.033	1.406	25.43	0.0
0.067	1.373	0.128	-440.8
0.100	1.414	0.263	-3.910
0.133	1.391	-0.580	-31.99
0.167	1.376	-1.544	-18.77
0.200	1.288	-2.216	-9.195
0.233	1.228	-1.876	1.855
0.267	1.163	-2.143	-1.022
0.300	1.085	-2.034	-1.283
0.333	1.027	-2.065	-3.295
0.367	0.947	-2.394	-2.037
0.400	0.868	-2.180	5.544
0.433	0.802	-1.967	9.763
0.467	0.737	-1.608	13.04
0.500	0.695	-1.029	23.59
0.533	0.668	-0.119	24.04
0.567	0.687	0.716	23.71
0.600	0.716	1.339	17.11
0.633	0.776	1.950	9.552
0.667	0.846	1.965	4.448
0.700	0.907	2.148	2.137
0.733	0.989	2.243	0.823
0.767	1.057	2.090	0.0
0.800	1.128	2.269	-0.169
0.833	1.208	2.141	-18.74
0.867	1.271	1.051	-67.75
0.900	1.278	-2.232	-227.8
0.933	1.122	-13.46	-282.5
0.967	0.381	-23.10	268.7
1.000	-0.418	1.783	509.7
1.033	0.499	19.50	209.6
1.067	0.882	9.998	-230.3
1.100	1.166	5.328	-132.7
1.133	1.237	0.658	-90.71
1.167	1.210	-0.702	-30.76
1.200	1.190	-1.078	-11.24
1.233	1.138	-1.604	-12.03
1.267	1.083	-1.796	-0.958
1.300	1.018	-1.739	-3.695
1.333	0.967	-1.904	-4.167
1.367	0.891	-2.172	-1.439
1.400	0.823	-1.932	6.155
1.433	0.762	-1.749	6.831
1.467	0.706	-1.506	12.60
1.500	0.662	-0.920	25.79
1.533	0.645	0.197	27.54
1.567	0.675	1.046	20.79
1.600	0.714	1.475	12.94
1.633	0.774	1.951	7.250
1.667	0.844	1.986	1.775
1.700	0.906	1.983	2.068
1.733	0.977	2.176	3.897
1.767	1.051	2.238	-5.823
1.800	1.126	1.840	-10.85
1.833	1.174	1.402	-31.01
1.867	1.219	0.001	-131.4
1.900	1.175	-6.938	-325.9
1.933	0.757	-21.80	-35.57
1.967	-0.278	-13.64	393.8
2.000	-0.153	9.882	463.0
2.033	0.381	16.42	30.78
2.067	0.942	11.89	-167.8
2.100	1.173	4.155	-170.8
2.133	1.219	0.535	-77.68
2.167	1.209	-0.796	-27.68
2.200	1.166	-1.325	-14.10
2.233	1.120	-1.638	-3.512
2.267	1.057	-1.668	-4.148
2.300	1.009	-1.757	-6.380
2.333	0.940	-2.207	-4.827
2.367	0.862	-2.097	4.632
2.400	0.800	-1.824	7.727
2.433	0.741	-1.622	5.716
2.467	0.692	-1.413	18.37
2.500	0.646	-0.524	26.05
2.533	0.657	0.524	25.13
2.567	0.681	1.048	14.49
2.600	0.727	1.525	15.36
2.633	0.783	2.027	8.296
2.667	0.862	2.178	4.643
2.700	0.928	2.204	1.325
2.733	1.009	2.362	1.276
2.767	1.086	2.251	-12.25
2.800	1.159	1.620	-15.90
2.833	1.194	1.035	-34.03
2.867	1.228	-0.369	-188.0
2.900	1.169	-10.63	-360.1
2.933	0.519	-25.81	46.63
2.967	-0.552	-11.07	0.0
3.000	-0.219	0.00	0.0
