	mass A				
t	ax	ay	a	frame	
0.000	0	0		0
0.033	0		0	1
0.067	3.510	11.56	12.08	2
0.100	2.271	7.640	7.970	3
0.133	5.368	0.619	5.404	4
0.167	6.194	-1.858	6.467	5
0.200	5.781	-1.858	6.073	6
0.233	4.130	-4.336	5.988	7
0.267	3.304	-4.955	5.956	8
0.300	3.717	-4.955	6.194	9
0.333	4.955	-4.336	6.585	10
0.367	3.717	-4.542	5.869	11
0.400	-1.239	-5.368	5.509	12
0.433	-4.542	-3.717	5.869	13
0.467	-8.672	-2.478	9.019	14
0.500	-17.34	0.206	17.35	15
0.533	-20.03	-0.206	20.03	16
0.567	-18.79	-0.413	18.79	17
0.600	-10.74	-0.619	10.75	18
0.633	-4.955	-2.891	5.737	19
0.667	-0.619	-4.749	4.789	20
0.700	0.000	-6.607	6.607	21
0.733	1.652	-7.227	7.413	22
0.767	2.891	-8.053	8.556	23
0.800	3.923	-7.020	8.042	24
0.833	7.640	-5.988	9.707	25
0.867	9.085	-4.955	10.35	26
0.900	7.640	3.304	8.323	27
0.933	4.749	13.42	14.24	28
0.967	3.717	22.09	22.40	29
1.000	3.097	17.76	18.03	30
1.033	2.271	13.83	14.02	31
1.067	2.684	12.39	12.68	32
1.100	4.130	6.607	7.792	33
1.133	3.510	-3.304	4.820	34
1.167	4.542	-3.510	5.741	35
1.200	5.781	-0.206	5.785	36
1.233	5.368	-4.130	6.773	37
1.267	1.652	-6.401	6.610	38
1.300	3.923	-4.749	6.160	39
1.333	4.749	-3.923	6.160	40
1.367	2.684	-4.542	5.276	41
1.400	-1.445	-4.130	4.375	42
1.433	-3.923	-3.923	5.548	43
1.467	-10.94	-3.510	11.49	44
1.500	-21.68	-0.619	21.69	45
1.533	-21.68	1.445	21.73	46
1.567	-14.66	0.826	14.68	47
1.600	-7.020	-1.032	7.096	48
1.633	-3.304	-3.097	4.528	49
1.667	0.206	-5.162	5.166	50
1.700	0.413	-6.194	6.208	51
1.733	0.206	-7.020	7.023	52
1.767	3.923	-8.053	8.957	53
1.800	5.162	-8.878	10.27	54
1.833	7.227	-6.814	9.932	55
1.867	8.053	-4.749	9.349	56
1.900	7.227	4.749	8.647	57
1.933	3.923	18.79	19.19	58
1.967	3.510	23.74	24.00	59
2.000	2.684	16.52	16.73	60
2.033	2.271	12.39	12.60	61
2.067	3.304	11.15	11.63	62
2.100	4.336	3.510	5.579	63
2.133	4.542	-3.097	5.498	64
2.167	5.575	-1.858	5.876	65
2.200	6.194	-1.652	6.411	66
2.233	3.304	-4.130	5.288	67
2.267	2.891	-6.401	7.023	68
2.300	4.130	-6.401	7.617	69
2.333	4.749	-4.336	6.431	70
2.367	0.619	-3.304	3.361	71
2.400	-3.510	-4.130	5.420	72
2.433	-5.162	-5.162	7.300	73
2.467	-12.80	0.000	12.80	74
2.500	-20.85	0.826	20.87	75
2.533	-21.89	-0.619	21.90	76
2.567	-12.60	-2.478	12.84	77
2.600	-6.814	0.206	6.817	78
2.633	-3.510	-4.130	5.420	79
2.667	-0.619	-5.368	5.404	80
2.700	2.271	-5.575	6.020	81
2.733	2.065	-8.259	8.513	82
2.767	4.749	-10.74	11.74	83
2.800	6.401	-8.053	10.29	84
2.833	8.259	-1.445	8.385	85
2.867	7.640	0.000	7.640	86
2.900	7.640	7.846	10.95	87
2.933	2.065	18.17	18.29	88
2.967	0		0	89
3.000	0		0	90
