	mass A			
t	vx	vy	v	
0.000	0			0	0
0.033	0.000	0.385	0.385
0.067	0.120	0.771	0.780
0.100	0.217	1.229	1.248
0.133	0.289	1.277	1.309
0.167	0.530	1.229	1.338
0.200	0.771	1.180	1.410
0.233	0.867	1.084	1.388
0.267	1.060	0.915	1.400
0.300	1.108	0.723	1.323
0.333	1.253	0.602	1.390
0.367	1.494	0.434	1.555
0.400	1.494	0.289	1.521
0.433	1.397	9.636E-2	1.400
0.467	1.204	0.000	1.204
0.500	0.819	-2.409E-2	0.819
0.533	7.227E-2	-2.409E-2	7.618E-2
0.567	-0.602	0.000	0.602
0.600	-1.108	-7.227E-2	1.110
0.633	-1.397	-4.818E-2	1.398
0.667	-1.373	-0.217	1.390
0.700	-1.445	-0.434	1.509
0.733	-1.397	-0.602	1.521
0.767	-1.301	-0.939	1.605
0.800	-1.229	-1.156	1.687
0.833	-1.036	-1.373	1.720
0.867	-0.723	-1.590	1.746
0.900	-0.410	-1.686	1.735
0.933	-0.217	-1.421	1.438
0.967	-9.636E-2	-0.747	0.753
1.000	2.409E-2	4.818E-2	5.386E-2
1.033	0.120	0.506	0.520
1.067	0.169	0.867	0.883
1.100	0.289	1.397	1.427
1.133	0.458	1.349	1.425
1.167	0.530	1.084	1.207
1.200	0.723	1.132	1.343
1.233	0.964	1.108	1.468
1.267	1.060	0.843	1.354
1.300	1.084	0.650	1.264
1.333	1.277	0.554	1.392
1.367	1.469	0.385	1.519
1.400	1.421	0.241	1.442
1.433	1.373	0.120	1.378
1.467	1.180	-2.409E-2	1.181
1.500	0.650	-0.120	0.661
1.533	-0.265	-7.227E-2	0.275
1.567	-0.891	0.000	0.891
1.600	-1.156	-2.409E-2	1.157
1.633	-1.397	-7.227E-2	1.399
1.667	-1.373	-0.217	1.390
1.700	-1.349	-0.434	1.417
1.733	-1.373	-0.626	1.509
1.767	-1.325	-0.891	1.597
1.800	-1.132	-1.180	1.636
1.833	-0.939	-1.469	1.744
1.867	-0.699	-1.662	1.803
1.900	-0.361	-1.758	1.795
1.933	-0.217	-1.421	1.438
1.967	-0.120	-0.458	0.473
2.000	2.409E-2	0.241	0.242
2.033	7.227E-2	0.578	0.583
2.067	0.145	1.060	1.070
2.100	0.313	1.373	1.408
2.133	0.434	1.277	1.348
2.167	0.602	1.132	1.282
2.200	0.819	1.156	1.417
2.233	1.012	1.060	1.465
2.267	1.060	0.843	1.354
2.300	1.156	0.650	1.327
2.333	1.373	0.410	1.433
2.367	1.469	0.337	1.508
2.400	1.421	0.241	1.442
2.433	1.229	2.409E-2	1.229
2.467	1.060	-9.636E-2	1.064
2.500	0.458	0.000	0.458
2.533	-0.434	2.409E-2	0.434
2.567	-0.988	-9.636E-2	0.992
2.600	-1.277	-0.120	1.282
2.633	-1.421	-9.636E-2	1.425
2.667	-1.518	-0.337	1.555
2.700	-1.469	-0.554	1.570
2.733	-1.349	-0.626	1.487
2.767	-1.325	-1.108	1.727
2.800	-1.084	-1.421	1.787
2.833	-0.819	-1.566	1.767
2.867	-0.602	-1.590	1.700
2.900	-0.265	-1.494	1.517
2.933	-9.636E-2	-1.156	1.160
2.967	-0.120	-0.241	0.269
3.000		0	0	0	
