	mass A						
t	x	y	vx	vy	ax	ay	
0.000	1.349E-30	5.428E-30	0	0		
0.033	0	0	0	0	0	0
0.067	1.349E-30	5.428E-30	0	0		
0.100	4.371E-30	1.752E-20	0.136	0.453		
0.133	1.042E-20	3.565E-20	9.066E-2	0.680	3.108	5.828
0.167	1.042E-20	6.285E-20	0.272	0.861	0.777	3.497
0.200	2.855E-20	9.307E-20	0.272	0.907	0.000	0.777
0.233	2.855E-20	0.123	0.136	0.907	1.166	1.554
0.267	3.761E-20	0.154	0.408	0.997	6.605	0.000
0.300	5.575E-20	0.190	0.589	0.952	3.497	-1.943
0.333	7.690E-20	0.217	0.635	0.816	1.554	-2.331
0.367	9.805E-20	0.244	0.680	0.816	3.497	0.000
0.400	0.122	0.271	0.861	0.816	4.274	-2.331
0.433	0.155	0.299	0.997	0.680	1.554	-4.274
0.467	0.189	0.317	0.952	0.499	0.389	-2.720
0.500	0.219	0.332	0.997	0.499	3.108	-1.166
0.533	0.255	0.350	1.179	0.453	3.885	-1.554
0.567	0.298	0.362	1.269	0.363	0.777	-5.440
0.600	0.340	0.374	1.224	0.136	-2.720	-4.274
0.633	0.379	0.371	1.088	0.000	-1.554	-2.331
0.667	0.412	0.374	1.088	4.533E-2	-3.108	1.166
0.700	0.452	0.374	0.952	4.533E-2	-6.605	-2.720
0.733	0.476	0.377	0.589	-9.066E-2	-10.49	-2.331
0.767	0.491	0.368	0.272	-0.181	-8.548	3.108
0.800	0.494	0.365	0.000	0.136	-8.548	1.166
0.833	0.491	0.377	-0.272	0.000	-10.88	-3.108
0.867	0.476	0.365	-0.725	-0.227	-10.10	-1.166
0.900	0.443	0.362	-0.997	0.000	-6.994	2.331
0.933	0.409	0.365	-1.133	-4.533E-2	-0.389	-1.166
0.967	0.367	0.359	-1.088	-0.136	1.554	-3.497
1.000	0.337	0.356	-0.952	-0.227	-1.166	-3.497
1.033	0.304	0.344	-1.179	-0.408	-1.554	-5.051
1.067	0.258	0.329	-1.133	-0.544	3.497	-2.331
