	mass_C
t	x	y
0.000000E0	-1.526316E-1	2.315789E-2
5.000000E-2	-1.526163E-1	2.314893E-2
1.000000E-1	-1.526264E-1	2.311998E-2
1.500000E-1	-1.526246E-1	2.312650E-2
2.000000E-1	-1.526243E-1	2.313893E-2
2.500000E-1	-1.530253E-1	2.305222E-2
3.000000E-1	-1.538013E-1	2.307980E-2
3.500000E-1	-1.554127E-1	2.304972E-2
4.000000E-1	-1.573927E-1	2.308761E-2
4.500000E-1	-1.598462E-1	2.304524E-2
5.000000E-1	-1.629060E-1	2.294706E-2
5.500000E-1	-1.628696E-1	2.298033E-2
6.000000E-1	-1.749569E-1	2.258346E-2
6.500000E-1	-1.789054E-1	2.251142E-2
7.000000E-1	-1.822637E-1	2.245569E-2
7.500000E-1	-1.854615E-1	2.231298E-2
8.000000E-1	-1.891374E-1	2.209566E-2
8.500000E-1	-1.891595E-1	2.212633E-2
9.000000E-1	-1.933927E-1	2.213793E-2
9.500000E-1	-2.093157E-1	2.218728E-2
1.000000E0	-2.093237E-1	2.219673E-2
1.050000E0	-2.130625E-1	2.215504E-2
1.100000E0	-2.236589E-1	2.206438E-2
1.150000E0	-2.269487E-1	2.207418E-2
1.200000E0	-2.297212E-1	2.210280E-2
1.250000E0	-2.325847E-1	2.203920E-2
1.300000E0	-2.361103E-1	2.206433E-2
1.350000E0	-2.360660E-1	2.209002E-2
1.400000E0	-2.470834E-1	2.151877E-2
1.450000E0	-2.497729E-1	2.146700E-2
1.500000E0	-2.518353E-1	2.142590E-2
1.550000E0	-2.536066E-1	2.132120E-2
1.600000E0	-2.552195E-1	2.132467E-2
1.650000E0	-2.563224E-1	2.141284E-2
1.700000E0	-2.562540E-1	2.138981E-2
1.750000E0	-2.569927E-1	2.148096E-2
1.800000E0	-2.591591E-1	2.145580E-2
1.850000E0	-2.595149E-1	2.144378E-2
1.900000E0	-2.598607E-1	2.143694E-2
1.950000E0	-2.599619E-1	2.140149E-2
2.000000E0	-2.599037E-1	2.138726E-2
2.050000E0	-2.565567E-1	2.141266E-2
2.100000E0	-2.566490E-1	2.140165E-2
2.150000E0	-2.550026E-1	2.140891E-2
2.200000E0	-2.550333E-1	2.140050E-2
2.250000E0	-2.533199E-1	2.146357E-2
2.300000E0	-2.465800E-1	2.135064E-2
2.350000E0	-2.425278E-1	2.135923E-2
2.400000E0	-2.383494E-1	2.145958E-2
2.450000E0	-2.346899E-1	2.146601E-2
2.500000E0	-2.227831E-1	2.185036E-2
2.550000E0	-2.183084E-1	2.205627E-2
2.600000E0	-2.141202E-1	2.214772E-2
2.650000E0	-2.140845E-1	2.217036E-2
2.700000E0	-2.101819E-1	2.222933E-2
2.750000E0	-2.067219E-1	2.231543E-2
2.800000E0	-1.951953E-1	2.230848E-2
2.850000E0	-1.910127E-1	2.230251E-2
2.900000E0	-1.867818E-1	2.234083E-2
2.950000E0	-1.831740E-1	2.236513E-2
3.000000E0	-1.831210E-1	2.236721E-2
3.050000E0	-1.790921E-1	2.235176E-2
3.100000E0	-1.662776E-1	2.281599E-2
3.150000E0	-1.617312E-1	2.290718E-2
3.200000E0	-1.573250E-1	2.305560E-2
3.250000E0	-1.531261E-1	2.318201E-2
3.300000E0	-1.532237E-1	2.317608E-2
3.350000E0	-1.489715E-1	2.320258E-2
3.400000E0	-1.350118E-1	2.340376E-2
3.450000E0	-1.303393E-1	2.339080E-2
3.500000E0	-1.304065E-1	2.334534E-2
3.550000E0	-1.258729E-1	2.342470E-2
3.600000E0	-1.108130E-1	2.381275E-2
3.650000E0	-1.107524E-1	2.388266E-2
3.700000E0	-1.069403E-1	2.385813E-2
3.750000E0	-1.026745E-1	2.401381E-2
3.800000E0	-9.861884E-2	2.421640E-2
3.850000E0	-9.863381E-2	2.418849E-2
3.900000E0	-9.444850E-2	2.437224E-2
3.950000E0	-8.061958E-2	2.459565E-2
4.000000E0	-7.621185E-2	2.480773E-2
4.050000E0	-7.198579E-2	2.492765E-2
4.100000E0	-6.747185E-2	2.490744E-2
4.150000E0	-5.209210E-2	2.513073E-2
4.200000E0	-4.718692E-2	2.515223E-2
4.250000E0	-4.235235E-2	2.526684E-2
4.300000E0	-4.228369E-2	2.521365E-2
4.350000E0	-3.779693E-2	2.533936E-2
4.400000E0	-3.373275E-2	2.535449E-2
4.450000E0	-2.528582E-2	2.534627E-2
4.500000E0	-2.534859E-2	2.527455E-2
4.550000E0	-2.265038E-2	2.522080E-2
4.600000E0	-2.019751E-2	2.520249E-2
4.650000E0	-1.269877E-2	2.534793E-2
4.700000E0	-9.975847E-3	2.530728E-2
4.750000E0	-7.338656E-3	2.527949E-2
4.800000E0	-4.668476E-3	2.530293E-2
4.850000E0	-4.638261E-3	2.525234E-2
4.900000E0	-1.861719E-3	2.526967E-2
