time	cam_x	cam_y	cam_z	obj_x	obj_y	obj_z	cam_i	cam_j	cam_k	cam_w	obj_i	obj_j	obj_k	obj_w
0	-17.55368776	-302.0275238	73.10372944	-27.70827416	1201.468564	111.3381051	0.002651373	-0.008080447	0.013197049	0.99987675	0.002784155	-0.005371281	-0.02296792	0.999717896
0.05	-17.778659	-302.050569	73.30221978	-27.67983675	1201.455536	111.3624719	0.007552384	-0.00164478	0.014150676	0.999869999	0.002639604	-0.0050566	-0.022794637	0.999723896
0.1	-17.45168024	-302.0351227	73.15006237	-27.67087745	1201.426678	111.4065166	0.003146023	-0.008020456	0.01280123	0.999880945	0.002968492	-0.00584017	-0.022977312	0.999714521
0.15	-17.36518871	-302.0515195	73.17194096	-27.72388343	1201.40097	111.4187211	0.002921632	-0.008317193	0.012720205	0.999880235	0.002997616	-0.005727386	-0.022897526	0.999716917
0.2	-16.53962467	-302.0536369	73.12969006	-27.76588351	1201.399534	111.3959802	0.005413466	-0.009170306	0.012904486	0.999860027	0.003239402	-0.005923891	-0.022915155	0.999714614
0.25	-13.78922771	-302.0605083	73.11388782	-27.83902395	1201.427441	111.361382	0.004633664	-0.007340158	0.012971604	0.999878187	0.002808377	-0.005283315	-0.022785925	0.999722462
0.3	-9.632315998	-302.1020284	73.08662268	-28.42783047	1201.392873	111.4027839	0.003568682	-0.00998531	0.013637551	0.999850777	0.000800444	-0.006063773	-0.025356621	0.999659758
0.35	-7.458353937	-302.0594697	73.22248468	-31.48101838	1201.414462	111.3331676	0.00942371	-0.009231657	0.013596389	0.999820538	0.002692917	-0.004864436	-0.022672755	0.999727479
0.4	-5.136265457	-302.1291078	73.19821583	-36.10547279	1201.104154	111.4818326	0.003774017	-0.009651497	0.013795972	0.999851127	0.001950151	-0.00730563	-0.033531543	0.999409056
0.45	-2.161319055	-302.1718944	73.18973556	-41.61379825	1201.111908	111.4175559	0.00527717	-0.009291685	0.013748494	0.999848386	0.000492588	-0.006321646	-0.034071859	0.999399271
0.5	1.886133465	-302.1972552	72.96265958	-48.17330767	1201.329849	111.315337	-0.004995033	-0.016713013	0.011334507	0.999783603	-0.000659079	-0.006355293	-0.033290951	0.999425279
0.55	4.553136696	-302.1090138	73.22333163	-55.11196458	1201.35217	111.2659582	0.012754252	-0.007139898	0.014787694	0.999783814	-0.000424322	-0.00556036	-0.033842084	0.999411635
0.6	6.418611941	-302.2039209	72.98228123	-61.66787647	1201.521309	111.1952943	-0.00381828	-0.015342964	0.012086097	0.999801951	-0.000947271	-0.007505607	-0.03548017	0.999341746
0.65	7.632949125	-302.1461996	73.24457958	-67.75678929	1201.55366	111.2292191	0.008659882	-0.008551062	0.015610299	0.999804083	-0.001238198	-0.007006237	-0.035460302	0.999345759
0.7	11.65643187	-302.2457319	73.24685562	-74.52625059	1201.635383	111.0813557	0.007909897	-0.010209814	0.014542551	0.999810836	-0.000490455	-0.006229175	-0.032592757	0.999449183
0.75	16.93195041	-302.2645971	73.22475821	-79.7529938	1201.641818	111.0780056	0.007179614	-0.008257721	0.013709387	0.999846146	-0.000982365	-0.0072026	-0.034775857	0.999368699
0.8	21.41994343	-302.3796912	73.39775109	-84.56632615	1201.627655	111.0629693	0.004930423	-0.00351392	0.014796797	0.999872191	-0.000775922	-0.006365707	-0.035976189	0.999332072
0.85	25.79216418	-302.4432954	73.38340098	-89.27253538	1201.598941	111.0733905	0.002988242	-0.004455433	0.013829349	0.999889978	-0.002979928	-0.008210225	-0.037512265	0.999257996
0.9	29.71451984	-302.3804594	73.24250908	-93.86681247	1201.686832	111.0922967	0.004150717	-0.006321327	0.013053857	0.999886198	-0.002766524	-0.009224334	-0.036611763	0.999283162
0.95	34.56028038	-302.3086246	73.37804077	-98.32302405	1201.767073	111.0462191	0.011279482	-0.007062303	0.01458791	0.999805026	-0.002861271	-0.008983647	-0.036162448	0.999301448
1	39.64436339	-302.2461574	73.00224015	-102.0019187	1201.982284	111.0419902	-0.003774492	-0.020635091	0.011778041	0.99971057	-0.004884624	-0.007944213	-0.039537122	0.999174582
1.05	43.1309941	-302.4263752	73.42378395	-105.7078935	1201.904084	111.0433409	0.004903776	-0.011693536	0.01672265	0.999779759	-0.004642964	-0.006859912	-0.039840647	0.999171711
1.1	46.70462431	-302.4133158	73.3720504	-109.8206911	1201.958988	110.9964027	0.004201458	-0.015879973	0.014767237	0.999756022	-0.004751128	-0.007190636	-0.039868685	0.999167758
1.15	50.44603289	-302.4212702	73.38419992	-112.5811051	1202.063894	111.0050893	0.010157939	-0.006958906	0.014879526	0.999813477	-0.004520943	-0.008145114	-0.036753441	0.999280943
1.2	55.19161631	-302.4876643	73.41200854	-116.1937771	1202.279203	110.9571469	0.004667535	-0.014830861	0.015825555	0.999753875	-0.006361231	-0.009124909	-0.035815713	0.999296505
1.25	60.00073684	-302.5841521	73.44537317	-120.1834523	1202.332971	110.9536749	0.00677633	-0.008730367	0.014625002	0.999831972	-0.00740234	-0.008045762	-0.032200963	0.999421617
1.3	64.52403351	-302.5763563	73.28675031	-124.3831389	1202.298502	110.8632293	-0.004456477	-0.016663592	0.014802124	0.999741647	-0.005709434	-0.006030116	-0.03267019	0.999431688
1.35	67.170377	-302.6939928	73.50329794	-129.4225062	1202.376696	110.77798	-0.002258316	-0.001760736	0.013877962	0.999899596	-0.00691646	-0.00671194	-0.032636761	0.999420809
1.4	68.2914232	-302.5912718	73.37668973	-134.4913234	1202.32844	110.7241383	-3.43E-05	-0.012675556	0.013378738	0.999830155	-0.005927176	-0.004461393	-0.032613109	0.999440518
1.45	68.05331315	-302.6418254	73.38037964	-139.9825737	1202.417244	110.7201916	-0.001566729	-0.009965202	0.012594848	0.999869796	-0.006377978	-0.006272564	-0.033559751	0.999396678
1.5	67.12041484	-302.7118806	73.66673434	-144.6881187	1202.474876	110.7067622	-0.001533618	-0.001298503	0.013317626	0.999909297	-0.005464606	-0.005412666	-0.032472567	0.999443032
1.55	65.05222286	-302.5204157	73.61365247	-149.3822724	1202.501923	110.7498141	0.006685034	-0.008298862	0.014416645	0.999839287	-0.005541435	-0.006775168	-0.033291243	0.999407366
1.6	62.26148951	-302.6096625	73.56136288	-153.7126148	1202.554707	110.7297251	0.004975	-0.008697008	0.013705923	0.999855869	-0.005906788	-0.005999261	-0.032659214	0.999431085
1.65	59.09140719	-302.5180638	73.47099254	-158.3486774	1202.549672	110.647615	0.00318052	-0.0156737	0.01489409	0.999761164	-0.006414554	-0.005733875	-0.032665069	0.999429322
1.7	56.39603846	-302.5766786	73.25000812	-163.3261006	1202.645612	110.5710489	-0.003005232	-0.015664572	0.014430715	0.999768645	-0.006021334	-0.006167014	-0.032362422	0.999439035
1.75	53.09825586	-302.4507722	73.34053053	-167.8054875	1202.693203	110.5245786	0.005044744	-0.014729644	0.014953097	0.999766969	-0.006657388	-0.00727093	-0.03290836	0.999409752
1.8	49.82948672	-302.5074512	73.42857832	-171.4201371	1202.69987	110.5504449	0.003865137	-0.012254437	0.016910808	0.999774432	-0.006010737	-0.006427194	-0.031548615	0.99946348
1.85	47.17084603	-302.4219728	73.42910073	-174.5441681	1202.741027	110.5599025	0.003888269	-0.014967133	0.015055464	0.999767073	-0.00663399	-0.007215037	-0.032688024	0.999417544
1.9	44.48875469	-302.3915007	73.48439527	-176.3352114	1202.719913	110.5587544	0.012372751	-0.007235538	0.014980449	0.999785051	-0.006373654	-0.006095178	-0.032048766	0.999447398
1.95	41.13905604	-302.4568159	73.38956959	-176.860487	1202.730021	110.5151538	0.005221157	-0.009511512	0.014233562	0.999839825	-0.006132588	-0.005970687	-0.032058207	0.999449355
2	37.63128239	-302.3749801	73.33899142	-176.832523	1202.719171	110.4758518	0.008009988	-0.009263305	0.013868608	0.999828832	-0.006235935	-0.005990281	-0.032093485	0.999447466
2.05	33.81998563	-302.3110036	73.31812497	-176.765899	1202.726685	110.5015049	0.01016255	-0.007315528	0.014762552	0.999812619	-0.006284173	-0.005955519	-0.032059666	0.999448457
2.1	29.85389122	-302.3998566	73.22312078	-176.7066292	1202.728182	110.5350303	0.002453733	-0.006405659	0.013214629	0.999889154	-0.00617895	-0.006411643	-0.032120855	0.999444327
2.15	25.47347306	-302.4708659	73.47675216	-176.5996936	1202.722804	110.5627908	0.002487893	-0.004657128	0.014215358	0.999885016	-0.006168018	-0.006542134	-0.032037323	0.99944623
2.2	21.10733081	-302.3498049	73.35593488	-174.4765192	1202.700469	110.5920788	0.00530666	-0.008873292	0.013405179	0.999856692	-0.006119554	-0.006483565	-0.032961066	0.999416871
2.25	16.37681127	-302.2770258	73.09467602	-169.5936076	1202.632195	110.5673659	-0.002721197	-0.015529785	0.01153659	0.999809146	-0.005647691	-0.006667263	-0.033458716	0.999401904
2.3	11.17502725	-302.2597561	73.22680415	-164.9486619	1202.650454	110.6196268	0.008136616	-0.008836404	0.014268524	0.999826046	-0.005575338	-0.00509431	-0.032468423	0.999444228
2.35	6.388191742	-302.1890596	73.24495718	-161.198475	1202.57336	110.6366645	0.006234284	-0.008794509	0.014598589	0.999835322	-0.005504293	-0.006603224	-0.032810262	0.999424628
2.4	1.502163855	-302.1444906	73.04985109	-157.4254947	1202.514177	110.6619914	-0.00105047	-0.015457573	0.012297673	0.999804344	-0.00522297	-0.006388957	-0.033304498	0.999411183
2.45	-4.261607992	-302.1045392	73.2421512	-152.9295975	1202.521584	110.7248333	0.005174357	-0.008815385	0.014285117	0.999845713	-0.005335974	-0.006175139	-0.032342003	0.99944354
2.5	-11.30259421	-302.0797276	73.14155067	-147.1393675	1202.452523	110.7838866	0.004542526	-0.008074543	0.013544415	0.999865349	-0.006174976	-0.006171804	-0.034245845	0.999375305
2.55	-16.60652654	-302.0169713	73.09560849	-142.6940907	1202.420706	110.7899655	0.005242926	-0.009346621	0.012953742	0.999858666	-0.006065762	-0.005592965	-0.034669295	0.999364781
2.6	-21.29660382	-301.8718969	73.12128256	-139.0425867	1202.404805	110.7566633	0.012330176	-0.006943069	0.014871808	0.999789273	-0.006198836	-0.005902704	-0.034114681	0.999381269
2.65	-25.60910136	-301.8538537	73.10148234	-135.2971863	1202.370625	110.7868902	0.012135065	-0.006784719	0.015453922	0.999783919	-0.006123817	-0.005970497	-0.034035514	0.999384028
2.7	-30.74439789	-301.829355	72.86707809	-130.9477823	1202.324918	110.8215424	0.004562938	-0.008072298	0.01239087	0.999880235	-0.006005759	-0.006239688	-0.033493179	0.999401423
2.75	-36.03711473	-301.8834281	73.07319757	-126.1993675	1202.239706	110.8761565	0.006125333	-0.009552043	0.014577487	0.999829353	-0.005085735	-0.005264939	-0.032922369	0.999431105
2.8	-41.65061369	-301.8807078	72.9909093	-121.3075231	1202.229134	110.971401	0.002780558	-0.006389863	0.01324901	0.999887945	-0.005983575	-0.006033273	-0.032443618	0.999437446
2.85	-47.05833464	-301.7387235	73.01080278	-117.9734956	1202.198458	110.9338749	0.009057747	-0.00757868	0.013750652	0.999835707	-0.004441094	-0.008271599	-0.03614286	0.999302532
2.9	-52.17638998	-301.6941362	73.11607349	-113.5959657	1202.22876	110.9692628	0.003651298	-0.002878612	0.013681324	0.999895596	-0.005611018	-0.008161191	-0.036512701	0.999284111
2.95	-57.52905355	-301.5779336	73.00833176	-109.3246123	1201.934644	111.0156485	0.005516232	-0.010119627	0.014339376	0.999830759	-0.004676453	-0.005838774	-0.035496904	0.999341788
3	-63.01453072	-301.6090816	73.12821547	-104.4081311	1201.953062	111.0470965	0.003869907	-0.004320202	0.015156185	0.999868316	-0.004423533	-0.005960359	-0.034517093	0.999376544
3.05	-68.51654721	-301.5538372	73.10074662	-98.85861178	1201.825003	111.0482286	-0.000424169	-0.00496041	0.014493076	0.999882576	-0.001935455	-0.007404069	-0.032790185	0.999432958
3.1	-73.45436719	-301.5648219	73.01700358	-93.30340044	1201.752165	111.0792811	0.000112444	-0.003990634	0.014465546	0.999887399	-0.002895697	-0.007718844	-0.033489493	0.999405067
3.15	-78.24894513	-301.4440869	72.82810382	-88.40994312	1201.725699	111.1192417	0.001379346	-0.008787767	0.013021193	0.999875653	-0.002871688	-0.007069666	-0.032864465	0.999430688
3.2	-83.38102928	-301.3168959	72.80516097	-83.22460853	1201.752132	111.0341895	-0.001598673	-0.015470345	0.015099314	0.999765034	0.001559396	-0.005475702	-0.029692998	0.999542851
3.25	-88.8517529	-301.3774095	72.80666092	-77.88206618	1201.673477	111.1219495	-0.001528633	-0.012517118	0.014762264	0.999811513	-0.00060519	-0.006633367	-0.031094277	0.999494261
3.3	-94.09461634	-301.3020082	72.77108993	-71.96172392	1201.671657	111.2334746	6.12E-05	-0.015253171	0.014342324	0.999780793	-0.00028769	-0.006452537	-0.031816567	0.999472855
